Ulasan,Rating
"Yuk, sarapan di resto family friendly dengan nuansa tepi sawah ini! ????????

Namanya Pawon Mbah Gito. Beneran di tepi sawah. Ke arah Jogja sebelah utara sana. Kalau lewat Jalan Kaliurang, masih di kilometer belasan sebelum belok kanan menuju persawahan. Posisinya beneran di tepi sawah.

Biasanya kalau musim libur sudah ramai dari pagi. Karena memang bukanya dari jam 7 pagi. Pas banget buat yang cari sarapan bareng keluarga. Menunya prasmanan aneka lauk dan sayur. Dijamin bikin laper mata pingin ambil semua, tapi piring sudah penuh. Hehe. Ada aneka jenang buat menu pembuka. Kopi? Adaa... Wedangan? Readyyy...

Harga juga affordable...

Pokoknya, pilihan tepat kalau ke @pawonmbahgito mau sarapan menu rumahan dengan nuansa persawahan yang syahdu, ditemani semilir angin dan gemericik air... ??????

??PAWON MBAH GITO (@pawonmbahgito)
7CR8+C7X, Jl. Pasir Luhur, RT.003/RW.026, Area Sawah, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",5
"Sudah kesekian kali mampir kesini. Paling cocok dengan mangut ikan manyung dan sate nya. Untuk minuman jg selalu pesan Wedang Mbah Uti. Namun makanan dan minuman yang lain jg enak enak, patut dicoba.

Suasana asri dengan view sawah. Tempat makan juga sudah luas sekali skrg. Musholla nyaman. Ada ikan, angsa, burung, sehingga anak anak jg senang. Mgkn bisa ditambahkan mini playground agar anak anak makin betah.

Lokasi jg sangat mudah di akses. Sangat direkomendasikan sekali untuk acara kumpul kumpul dan makan bersama keluarga atau teman.",5
"Pengalaman pertama makan di sini..
Lokasi resto lumayan di dalem gang, tapi aman dan gampang dicari pake maps. Tempatnya juga luas.
Menu makanan khas masakan rumahan, masakan jawa, sesuai konsep restonya. Jenis sayur dan lauknya banyak, dan rasanya enak. Favorit lauk si telor dadar. Meskipun konsepnya joglo tapi untuk tempat duduk gak semua serba kayu, ada sofa dan ala-ala cafe juga.. ada beberapa menu camilan seperti kwetiau, kentang goreng, mendoan dll. Ada juga slice cake di etalasenya yang cocok buat dessert.
Harga nasi putih plus sayurnya 14.000 (sayur bisa ambil 1x sepuasnya 2-3 jenis sayur). Untuk nasi merah selisih seribu aja.
Kesini waktu libur lebaran antrinya bikin capek karena harus berdiri.

Teknis pesan :
Pertama antri di pintu depan untuk mendapat nomor meja (jadi sudah diatur sama pegawainya yaa, gak bisa pilih meja).
Yang kedua antri ambil makanannya (sistemnnya prasmanan jadi ambil sendiri). Kalau sudah ambil makanan nanti petugas akan entri menu sesuai yang diambil. Kemudian bisa pesan menu tambahan disitu seperti minuman atau camilan. Setelah itu baru cari nomor meja sesuai yang kita dapat di awal masuk.

Terimakasih untuk servis yang sangat terstuktur ini mbah gito.. minusnya cuma parkiran yang di kebon itu sangat panas dan nggak ada tukang parkirnya jadi kalau agak rame susah juga mau masuk dan keluarin mobil..",4
"Suka banget sama menu makanan di pawon mbah Gito, tempatnya pun nyaman dan cocok untuk bawa keluarga atau berkumpul bersama teman.

MUSHOLLA dan kamar mandinya bersih.
Ada kolam ikan dan juga kandang burung yang menarik untuk anak2

Parkiran luas, hanya jalan masuk menuju ke lokasi harus hati2 jika papasan dengan mobil lainnya karena jalanan agak sempit dan kurang bagus.

Sudah 3-4 tahun sering makan disini, dari mulai tempatnya kecil dan luas seperti sekarang.

Tapi sayangnya harganya sudah cenderung mahal, terutama es teh yang sekarang 10 ribu dan teh manis hangat yang 11 ribu.

Mungkin bisa dikaji lagi untuk harga menu2nya agar relevan dan proporsional,. Kalau dari sudut pandang customer,. Menurut saya harganya masih agak kemahalan untuk es teh dan teh manis hangat.

Tapi saya support dan doakan pawon mbah Gito makin sukses dan terus sustain ke depannya ??",4
"Walaupun orang jogja asli, kalo main kesini vibes nya tetep ngerasa adem ayem banget. Apalagi dateng setelah pulang kerja, nongkrong disini asik dan tenang banget. Bisa ngobrol dengan bebas karena tempat nya seluas itu, untuk makananya juga lengkap khas makanan jawa rumahan. Untuk cemilan nya dan minuman boleh banget juga di coba. Untuk harga standar resto buat liburan, dibilang murah engga tapi dibilang mahal engga juga (100-150K untuk 2 orang). Ga pernah bosen main kesini karena vibesnya kaya main dirumah simbah. Bagi yang lagi penat sama kerjaan bisa sih santai dulu disini lupain masalah.

Oiya dilengkapi mushola yang luas dan nyaman banget. Pokoknya ademmmmm ayemm betulan deh kalo kesini.",5
"Begitu sampe, liat parkiran penuh, kirain bakal antri. Ternyata tempatnya super luas jadi bisa langsung dapet meja.
Yang disajikan makanan jawa rumahan yang bisa diambil secara prasmanan diawal begitu datang. Menunya sangat bervariasi, bikin kalap pengen ambil semua.
Seporsi nasi putih + 2 macem sayur 12ribu, nasi merah + 2 macem sayur 14ribu (cmiiw).
Minumannya juga bervariasi, dari tradisional sd kopi2an pun ada. Harga rata2 diatas 20ribuan.
Harga bersaing, apalagi untuk para wisatawan-wisatawan.
Tempatnya luas, bawa rombongan juga bisa.
Anak2 pun akan senang karena ada kolam ikan, bebek, bisa nyemplung di parit yang airnya jernih ??",5
"Pertama kali masuk area parkir udah hopless karna kang parkir langsung bilang udah full dan kami disuruh puter balik, karna perjalanan lama sekitar 30 menit dari pusat kota yogya aku ga percaya ih langsung ngantri ke petugas yg langsung koordinasi mencarikan tempat dusuk, dan ternyata ada donk masi banyak tempat kosong
Harga bersahabat kami ber 5 hanya abis 230k
Varian ice kopinya enak,teh panas gula batu , 1 porsi nasi dan sayur harga 14k, lauk dihitung sendiri, nasi aja 6k harga sangat affordable bgt
Mushola bersih kamar mandi toilet bersih, kids friendly ada kolam ikan dan beberapa burung dlm sangkarnya, tempatnya luas dan sejuk cocok buat makan bersama keluarga
Staf ramah dna gercep perlu ditingkatkan dibagian parkir lebih koordinasi lagi karna didlaam maaih banyak tempat kosong eh diluar udah bilang full aja jadi banyak mobil yg langsung puterbalik tanpa turun dahulu",5
"Pertama kali diajak temen makan siang di sini dan langsung suka banget sama tempat ini.
Lokasinya masuk ke dalam gang gitu tapi mudah diakses kok. Lahan parkirnya luasss dan ada tukang parkir yang mengarahkan, jadi gak perlu khawatir.
Pelayanannya juga juara banget sih, helpful dan ramah. Ketika kita baru datang, bakal ditanya untuk berapa orang, nanti pelayannya yg akan carikan meja buat kita. Jadi gak bingung harus cari2 meja sendiri.
Makanannya juga beraneka ragam, rada pricy pastinya, tapi worth it kok sama rasa dan ambience tempat ini. Masakannya nggak yang cuma asal jadi aja, tapi rasanya juga enak. Comfort food ala2 desa.
Ada kamar mandi dan mushola yang bersih serta nyaman.
Tempat makan yang recommended sih ini.",5
"Lokasi mudah dicari, parkiran luas, banyak pilihan meja, bisa sendiri, berdua atau rombongan.
Menu prasmanan milih sendiri, minuman pesan di kasir lalu bayar.
Rasa oke, harga masih terjangkau.

Tersedia mushola dan toilet.
Patut dicoba ????",4
"Tempatnya nyaman asri enak sejuk juga,, menyajikan suasana klasik yang sangat buat bikin betah disini.
Banyak menu varian tersedia.
Makanan prasmanan nya juga sangat banyak apalagi ada beras merahnya juga..
Tersedia parkir yang luas,
Pelayanan baik dr petugas parkir, pelayan , kasir dan semuanya sangat ramah.",5
